evid,origin_time,latitude,longitude,ml_KMA,mw_spectra,mw_mad_spectra,fc_spectra,fc_mad_spectra,nsta_spectra,mw_TD,mw_mad_TD,fc_TD,fc_mad_TD,nsta_TD
20170103200047 ,2017-01-03T20:00:47.000000Z,36.58,129.24,2.5,2.88,0.01,6,0.24,31,2.93,0.12,5.04,1.59,30
20170105203113 ,2017-01-05T20:31:13.000000Z,35.75,129.17,3.3,3.34,0.02,4,0.17,28,3.3,0.11,3.83,1.69,27
20170105203323 ,2017-01-05T20:33:23.000000Z,35.75,129.18,2.2,2.45,0.02,9.42,0.57,26,2.32,0.13,13.01,2.99,21
20170110151005 ,2017-01-10T15:10:05.000000Z,36.44,128.42,2.1,2.16,0.02,6.15,0.32,35,2.09,0.13,5.96,2.41,29
20170114025255 ,2017-01-14T02:52:55.000000Z,35.17,127.79,2.2,2.54,0.02,6.43,0.38,33,2.45,0.08,6.87,2.67,33
20170116105413 ,2017-01-16T10:54:13.000000Z,36.33,126.59,2.1,2.34,0.01,9.87,0.51,22,2.36,0.09,7.91,1.98,21
20170118034953 ,2017-01-18T03:49:53.000000Z,35.02,125.06,2.5,2.71,0.04,5.93,0.68,3,2.74,0.07,4.15,1.59,3
20170120182738 ,2017-01-20T18:27:38.000000Z,35.75,129.18,2.6,2.92,0.02,4.74,0.24,27,2.9,0.1,4.38,1.58,25
20170123190756 ,2017-01-23T19:07:56.000000Z,35.77,129.17,2.6,2.88,0.02,5,0.23,24,2.83,0.12,6.01,1.94,24
20170126135338 ,2017-01-26T13:53:38.000000Z,33.54,126.87,2,2.29,0.06,4.37,0.63,3,2.24,0.02,4.49,2.08,3
20170129044553 ,2017-01-29T04:45:53.000000Z,38.7,127.16,2.6,3,0.02,4.62,0.28,9,2.93,0.06,5.96,1.99,8
20170205100729 ,2017-02-05T10:07:29.000000Z,33.61,126.73,2.5,2.68,0.05,7.31,1,7,2.52,0.11,7.91,1.2,7
20170209202241 ,2017-02-09T20:22:41.000000Z,35.65,129.57,2.2,2.64,0.02,5.87,0.31,21,2.57,0.07,5.52,1.26,20
20170212002227 ,2017-02-12T00:22:27.000000Z,35.69,129.58,2.3,2.58,0.02,7.85,0.38,21,2.48,0.08,9.86,2.99,20
20170215173456 ,2017-02-15T17:34:56.000000Z,35.78,129.2,2.9,3.04,0.01,5.35,0.21,27,3,0.09,5.65,1.74,25
20170216092019 ,2017-02-16T09:20:19.000000Z,35.64,128.09,2.3,2.61,0.01,7.45,0.3,39,2.61,0.1,6.85,2.94,38
20170218075349 ,2017-02-18T07:53:49.000000Z,33.23,126.18,2,2.51,0.04,4.75,0.42,5,2.43,0.18,5.59,1.94,4
20170218115819 ,2017-02-18T11:58:19.000000Z,35.23,126.94,2.4,2.47,0.01,14.43,0.74,39,2.47,0.11,11.86,4.26,38
20170220182111 ,2017-02-20T18:21:11.000000Z,35.76,129.2,2.1,2.34,0.02,9.17,0.52,27,2.25,0.11,12.1,3.35,27
20170222040850 ,2017-02-22T04:08:50.000000Z,35.77,129.18,2.1,2.26,0.02,8.55,0.52,22,2.15,0.09,10.88,4.53,19
20170223120351 ,2017-02-23T12:03:51.000000Z,37.4,124.89,3.1,3.15,0.07,3.02,0.44,3,3.1,0.01,2.9,1.55,3
20170224023444 ,2017-02-24T02:34:44.000000Z,36.38,127.79,2.3,2.61,0.01,7.24,0.28,34,2.6,0.07,6.37,1.6,32
20170224215844 ,2017-02-24T21:58:44.000000Z,35.74,129.17,2.2,2.61,0.02,6.84,0.31,27,2.54,0.1,7.91,2.7,26
20170224215907 ,2017-02-24T21:59:07.000000Z,35.74,129.18,2.4,2.72,0.02,8.03,0.51,7,2.47,0.23,14.26,2.24,8
20170303213312 ,2017-03-03T21:33:12.000000Z,35.99,127.95,2.3,2.79,0.01,6.05,0.21,39,2.78,0.09,5.68,2.07,38
20170304225204 ,2017-03-04T22:52:04.000000Z,35.75,129.17,2.4,2.55,0.01,7.8,0.34,25,2.54,0.09,7.91,3.52,25
20170305001827 ,2017-03-05T00:18:27.000000Z,37.75,129.66,3.2,3.5,0.03,3.74,0.29,8,3.4,0.08,4.08,0.84,8
20170305002849 ,2017-03-05T00:28:49.000000Z,37.74,129.69,2.4,2.29,0.05,10.21,1.75,3,2.1,0.02,8.69,2.73,3
