evid,station,network,channel,hypo_dist,ptrv,strv,mw_td,fc_td
20170103200047 ,IMWB,KS,HH,74.25,13.83,22.62,2.85,3.23
20170103200047 ,SND,KG,HG,75.64,14.06,22.99,2.88,5
20170103200047 ,HAK,KG,EL,76.92,14.22,23.87,2.95,3.87
20170103200047 ,GWL,KS,HG,79.49,14.65,24.15,2.9,5.96
20170103200047 ,MGB,KG,HH,92.51,16.5,27.4,3.2,2.56
20170103200047 ,MKL,KG,HH,94.9,17.02,28.34,2.77,5
20170103200047 ,DAU,KS,HG,95.69,17.15,28.6,2.96,6.39
20170103200047 ,DAG2,KS,HH,95.71,16.97,28.39,2.77,6.16
20170103200047 ,JSB,KG,HH,95.74,17.18,28.27,2.91,3.91
20170103200047 ,HDB,KG,HH,95.87,17.19,28.94,2.71,9.1
20170103200047 ,GKP1,KG,HH,96.18,17.14,28.6,2.97,5.13
20170103200047 ,YOW2,KS,EL,97.08,17.33,28.77,3.04,6.87
20170103200047 ,CIGB,KS,HH,98.18,17.25,29.02,3.1,2.87
20170103200047 ,USN2,KS,HG,98.46,17.7,29.6,3.04,4.3
20170103200047 ,SAJ,KS,HG,99.36,17.49,29.33,3.06,6.63
20170103200047 ,YCH,KS,HG,73.73,13.57,22.35,3.04,6.87
20170103200047 ,YOJB,KS,HH,72.97,13.36,22.02,2.99,3.14
20170103200047 ,YODB,KS,HH,18.89,5.17,7.82,2.9,3.52
20170103200047 ,ULJ2,KS,HH,22.58,5.7,8.75,3.04,4.37
20170103200047 ,CSO,KS,HG,27.25,6.36,9.94,3.08,5.84
20170103200047 ,ADO2,KS,EL,33.58,7.23,11.43,2.74,13.58
20170103200047 ,PHA2,KS,EL,45.64,9.26,15.13,2.76,3.88
20170103200047 ,CHS,KG,HH,47.38,9.34,15.15,2.62,7.05
20170103200047 ,YEYB,KS,HH,17.61,4.89,7.34,2.85,9.1
20170103200047 ,UJN,KS,HG,49.27,9.92,15.92,2.97,4.99
20170103200047 ,ADOA,KS,HG,49.27,9.63,15.7,3.01,3.41
